3
18
0 6
0 1 9
0 4 13
1 0 9
1 4 8
2 8 5
3 8 5
4 0 13
4 1 8
4 9 12
5 8 12
6 7 14
7 6 14
7 9 6
8 2 5
8 3 5
8 5 12
9 4 12
9 7 6
-1
68
2 18
0 7 15
0 9 2
0 17 5
1 12 10
1 16 15
1 19 4
2 8 14
2 10 12
2 16 9
3 5 8
3 9 7
3 16 5
4 6 12
4 8 6
4 13 6
5 3 8
5 7 5
5 8 1
5 13 11
5 15 12
6 4 12
7 0 15
7 5 5
7 11 14
7 13 8
7 18 11
8 2 14
8 4 6
8 5 1
8 9 14
8 10 9
8 14 10
9 0 2
9 3 7
9 8 14
9 11 15
9 14 3
9 15 1
10 2 12
10 8 9
11 7 14
11 9 15
11 19 12
12 1 10
13 4 6
13 5 11
13 7 8
13 16 12
14 8 10
14 9 3
14 15 15
15 5 12
15 9 1
15 14 15
15 18 9
16 1 15
16 2 9
16 3 5
16 13 12
16 18 5
16 19 12
17 0 5
18 7 11
18 15 9
18 16 5
19 1 4
19 11 12
19 16 12
-1
296
4 48
0 36 10
0 39 16
0 60 15
0 63 18
0 77 11
1 13 14
1 26 19
1 94 11
2 8 18
2 41 11
2 88 13
2 90 16
2 92 10
2 99 17
3 21 16
3 45 19
3 78 14
4 30 17
4 56 19
4 85 12
5 52 15
6 21 14
6 67 15
6 76 10
7 9 19
7 47 19
8 2 18
8 37 17
8 69 17
9 7 19
9 36 13
9 38 14
9 95 19
10 16 11
10 58 15
10 95 13
11 51 15
11 64 10
11 99 16
12 14 11
12 73 12
13 1 14
13 53 16
13 68 15
14 12 11
14 17 14
14 86 14
15 27 17
15 49 12
15 74 15
16 10 11
16 40 13
17 14 14
17 76 10
18 54 11
18 68 12
19 35 16
19 59 13
20 86 16
21 3 16
21 6 14
21 26 10
21 42 18
21 43 11
21 62 13
21 75 14
21 91 16
22 82 14
23 32 15
23 41 17
23 50 14
24 64 16
24 97 15
24 98 18
25 70 15
25 77 10
25 93 17
26 1 19
26 21 10
26 66 14
26 70 11
27 15 17
27 95 14
28 90 14
28 91 13
29 37 16
29 44 14
29 94 13
30 4 17
30 38 12
31 35 11
31 55 18
31 91 14
31 99 19
32 23 15
32 80 11
33 43 15
33 82 11
34 86 11
34 97 13
35 19 16
35 31 11
35 66 13
35 75 14
36 0 10
36 9 13
36 52 13
37 8 17
37 29 16
37 39 16
37 88 18
38 9 14
38 30 12
39 0 16
39 37 16
39 83 15
40 16 13
41 2 11
41 23 17
42 21 18
42 43 14
42 44 13
42 62 11
42 65 17
42 95 14
43 21 11
43 33 15
43 42 14
43 76 14
43 82 10
43 87 12
44 29 14
44 42 13
44 52 16
44 56 14
44 97 14
45 3 19
45 58 10
45 71 17
46 85 18
47 7 19
48 59 18
48 74 19
49 15 12
49 53 10
49 81 19
49 90 17
50 23 14
50 58 19
50 72 13
50 80 12
51 11 15
51 62 16
51 69 14
51 83 14
52 5 15
52 36 13
52 44 16
53 13 16
53 49 10
54 18 11
55 31 18
55 72 19
55 90 11
55 95 11
56 4 19
56 44 14
57 63 18
57 66 13
57 97 12
58 10 15
58 45 10
58 50 19
58 83 18
59 19 13
59 48 18
60 0 15
61 65 11
61 78 15
62 21 13
62 42 11
62 51 16
62 90 11
63 0 18
63 57 18
63 70 19
64 11 10
64 24 16
64 80 18
65 42 17
65 61 11
65 68 17
66 26 14
66 35 13
66 57 13
67 6 15
67 77 18
67 84 14
68 13 15
68 18 12
68 65 17
69 8 17
69 51 14
69 88 19
70 25 15
70 26 11
70 63 19
70 75 11
70 84 18
71 45 17
72 50 13
72 55 19
73 12 12
73 84 18
74 15 15
74 48 19
75 21 14
75 35 14
75 70 11
76 6 10
76 17 10
76 43 14
76 81 15
77 0 11
77 25 10
77 67 18
78 3 14
78 61 15
79 82 19
79 93 18
80 32 11
80 50 12
80 64 18
80 81 16
81 49 19
81 76 15
81 80 16
81 82 15
82 22 14
82 33 11
82 43 10
82 79 19
82 81 15
82 99 16
83 39 15
83 51 14
83 58 18
84 67 14
84 70 18
84 73 18
85 4 12
85 46 18
85 86 12
85 96 13
86 14 14
86 20 16
86 34 11
86 85 12
87 43 12
88 2 13
88 37 18
88 69 19
89 94 14
90 2 16
90 28 14
90 49 17
90 55 11
90 62 11
91 21 16
91 28 13
91 31 14
91 93 18
92 2 10
93 25 17
93 79 18
93 91 18
94 1 11
94 29 13
94 89 14
95 9 19
95 10 13
95 27 14
95 42 14
95 55 11
96 85 13
96 97 19
97 24 15
97 34 13
97 44 14
97 57 12
97 96 19
98 24 18
99 2 17
99 11 16
99 31 19
99 82 16
-1
